domain,citations,class
coherehealth.com,23,competitor
oncologynewscentral.com,18,earned
accc-cancer.org,15,earned
ajmc.com,14,earned
insighthealth.ai,13,earned
humatahealth.com,12,competitor
imagineteam.com,11,earned
ascopubs.org,11,earned
pmc.ncbi.nlm.nih.gov,11,earned
practolytics.com,11,earned
annexmed.com,10,earned
ncbi.nlm.nih.gov,10,earned
intuitionlabs.ai,9,earned
innovaccer.com,8,earned
prnewswire.com,8,earned
mckesson.com,8,earned
cancertherapyadvisor.com,7,earned
develophealth.ai,7,earned
omnimd.com,7,earned
risalabs.ai,7,owned
droidal.com,6,earned
ama-assn.org,6,earned
cbinsights.com,6,earned
advancesradonc.org,5,earned
transcure.net,5,earned
